"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2009","Sows in pig","Thousand","89.9"
"Farm Animals in December","2009","Other sows for breeding","Thousand","29.6"
"Farm Animals in December","2009","Gilts not yet served","Thousand","16.8"
"Farm Animals in December","2009","Boars","Thousand","1.6"
"Farm Animals in December","2009","Other pigs","Thousand","1342.2"
"Farm Animals in December","2009","Other pigs: 20kg and under 50kg","Thousand","415.4"
"Farm Animals in December","2009","Other pigs: 50kg and under 80kg","Thousand","300.4"
"Farm Animals in December","2009","Other pigs: 80kg and over","Thousand","241.1"
"Farm Animals in December","2009","Other pigs: under 20kg","Thousand","385.3"
"Farm Animals in December","2010","Total cattle","Thousand","5917.7"
"Farm Animals in December","2010","Cows","Thousand","2097.7"
"Farm Animals in December","2010","Dairy cows","Thousand","1006.9"
"Farm Animals in December","2010","Other cows","Thousand","1090.8"
"Farm Animals in December","2010","Bulls","Thousand","48.5"
"Farm Animals in December","2010","Cattle: 2 years and over","Thousand","565.1"
"Farm Animals in December","2010","Cattle male: 2 years and over","Thousand","251.3"
"Farm Animals in December","2010","Cattle female: 2 years and over","Thousand","313.8"
"Farm Animals in December","2010","Cattle: 1-2 years","Thousand","1511.8"
"Farm Animals in December","2010","Cattle male: 1-2 years","Thousand","683"
"Farm Animals in December","2010","Cattle female: 1-2 years","Thousand","828.8"
"Farm Animals in December","2010","Cattle: under 1 year","Thousand","1694.6"
"Farm Animals in December","2010","Cattle male: under 1 year","Thousand","786"
"Farm Animals in December","2010","Cattle female: under 1 year","Thousand","908.6"
"Farm Animals in December","2010","Total cattle: male","Thousand","1768.8"
"Farm Animals in December","2010","Total cattle: female","Thousand","4148.9"
"Farm Animals in December","2010","Total sheep","Thousand","3122"
"Farm Animals in December","2010","Breeding sheep","Thousand","2419.1"
"Farm Animals in December","2010","Ewes","Thousand","2350.4"
"Farm Animals in December","2010","Ewes: 2 years and over","Thousand","1893.1"
"Farm Animals in December","2010","Ewes: under 2 years","Thousand","457.3"
"Farm Animals in December","2010","Rams","Thousand","68.7"
"Farm Animals in December","2010","Other sheep","Thousand","702.8"
"Farm Animals in December","2010","Total pigs","Thousand","1500.4"
"Farm Animals in December","2010","Breeding pigs","Thousand","150.9"
