"Number of livestock by Municipality, Livestock, Type and Year"

"Municipality","Livestock","Number of livestock 2018","Number of livestock 2019","Number of livestock 2020","Number of livestock 2021","Number of livestock 2022"
"Fushë-Arrëz","Poultry ",27000,27000,23440,24143,24210
"Fushë-Arrëz","Laying hens",22300,22300,22200,24143,24090
"Fushë-Arrëz","Turkeys",..,0,0,0,0
"Fushë-Arrëz","Beehives",3750,3750,3750,3470,3452
"Gjirokastër","Cattle",5523,5200,2900,2900,2527
"Gjirokastër","Cows",3894,3570,2000,2500,2527
"Gjirokastër","Sheep/Goats",101955,100500,76500,71000,85902
"Gjirokastër","Sheep",77793,75000,57000,52000,66507
"Gjirokastër","Milked sheep",59225,58000,44000,44000,51308
"Gjirokastër","Goats",24162,25500,19500,19000,19395
"Gjirokastër","Milked goats",18660,20000,15000,17000,15521
"Gjirokastër","Pigs",245,250,500,200,39
"Gjirokastër","Sows",35,40,40,20,10
"Gjirokastër","Equidae",1187,1165,1000,1000,1015
"Gjirokastër","Poultry ",32090,30290,29000,29000,26100
"Gjirokastër","Laying hens",30470,30000,28000,28000,24000
"Gjirokastër","Turkeys",70,70,50,50,0
"Gjirokastër","Beehives",6265,6200,6000,7200,9374
"Gramsh","Cattle",7314,8125,6000,5200,4600
"Gramsh","Cows",5280,6500,4500,4500,4000
"Gramsh","Sheep/Goats",83000,78140,51700,45700,43960
"Gramsh","Sheep",51000,48140,30700,27500,30160
"Gramsh","Milked sheep",32900,32700,22800,21000,23200
"Gramsh","Goats",32000,30000,21000,18200,13800
"Gramsh","Milked goats",24000,22300,15400,14000,11500
"Gramsh","Pigs",500,720,500,940,940
"Gramsh","Sows",40,48,35,35,35
"Gramsh","Equidae",2419,1761,2200,2200,2100
"Gramsh","Poultry ",95000,97670,98000,98000,98000
"Gramsh","Laying hens",58000,58600,55000,55000,55000
"Gramsh","Turkeys",6700,6500,6500,6500,6500
"Gramsh","Beehives",5200,5000,4800,5800,6300
"Has","Cattle",10320,5838,7180,7432,7736
"Has","Cows",6830,5200,6500,6450,6550
"Has","Sheep/Goats",11000,7115,8288,8535,9402
"Has","Sheep",4000,1671,2407,2570,2700
"Has","Milked sheep",3000,1200,2000,2150,2400
"Has","Goats",7000,5444,5881,5965,6702
"Has","Milked goats",5500,4850,5100,5300,6000
"Has","Pigs",..,0,0,0,0
"Has","Sows",..,0,0,0,0
"Has","Equidae",290,250,586,588,600
"Has","Poultry ",43000,43000,38670,39141,39200
"Has","Laying hens",40000,40000,35500,36000,35000
"Has","Turkeys",400,400,200,200,200
"Has","Beehives",4810,4950,13084,13356,9480
"Himarë","Cattle",3000,3000,2640,2640,2640
"Himarë","Cows",2608,2608,2295,2190,2190
"Himarë","Sheep/Goats",69714,71714,75774,78800,78800
"Himarë","Sheep",31763,32763,31888,30100,30100
"Himarë","Milked sheep",22014,22714,22941,23000,23000
"Himarë","Goats",37951,38951,43886,48700,48700
"Himarë","Milked goats",30560,31260,31573,31700,31700
"Himarë","Pigs",435,435,435,436,436
"Himarë","Sows",65,65,65,70,70
"Himarë","Equidae",810,810,786,795,795
"Himarë","Poultry ",14515,14515,15115,15579,15579
"Himarë","Laying hens",9107,9107,10471,11118,11118
"Himarë","Turkeys",2700,2700,2700,2579,3064
"Himarë","Beehives",4609,4609,4793,4793,13151
"Kamëz","Cattle",3387,3387,3220,3220,2448
"Kamëz","Cows",2760,2755,2620,2630,2225
"Kamëz","Sheep/Goats",3255,2950,2866,3024,2283
"Kamëz","Sheep",2470,2150,2040,2010,1671
"Kamëz","Milked sheep",1970,1640,1560,1600,1521
"Kamëz","Goats",785,800,826,1014,612
"Kamëz","Milked goats",636,636,610,810,557
"Kamëz","Pigs",160,160,95,99,17
"Kamëz","Sows",8,8,0,0,0
"Kamëz","Equidae",59,59,49,49,17
"Kamëz","Poultry ",30150,30200,31677,34220,30670
"Kamëz","Laying hens",27950,27950,28000,28650,28650
"Kamëz","Turkeys",120,120,0,120,120
"Kamëz","Beehives",1874,2100,3128,4109,4267
"Kavajë","Cattle",8140,7870,6310,6260,4788
"Kavajë","Cows",6615,6315,5475,5500,4355
"Kavajë","Sheep/Goats",20640,20510,12444,13997,12014
"Kavajë","Sheep",14640,14510,8350,9905,8437
"Kavajë","Milked sheep",12070,10700,7480,7734,7672
"Kavajë","Goats",6000,6000,4094,4092,3577
"Kavajë","Milked goats",4710,4210,3422,3316,3252
"Kavajë","Pigs",0,0,7,17,10
"Kavajë","Sows",0,0,0,0,0
"Kavajë","Equidae",1665,1665,785,858,680
"Kavajë","Poultry ",94400,134400,134773,189520,200925
"Kavajë","Laying hens",74200,74200,72200,57900,63300
"Kavajë","Turkeys",2490,2490,2490,2490,2740
"Kavajë","Beehives",3140,3140,3300,2478,4783
"Këlcyrë","Cattle",1181,1200,1100,900,907
"Këlcyrë","Cows",956,960,900,700,746
"Këlcyrë","Sheep/Goats",44803,45500,37000,37000,32096
"Këlcyrë","Sheep",27423,28000,22000,21000,19099
"Këlcyrë","Milked sheep",21768,22000,18000,16200,16596
"Këlcyrë","Goats",17380,17500,15000,16000,12997
"Këlcyrë","Milked goats",14346,15000,13000,14000,10722
"Këlcyrë","Pigs",176,160,300,200,3
"Këlcyrë","Sows",25,30,30,20,0
"Këlcyrë","Equidae",711,700,600,600,463
"Këlcyrë","Poultry ",15100,15000,14000,14000,13000
"Këlcyrë","Laying hens",12000,13000,13000,13000,12000
"Këlcyrë","Turkeys",..,0,0,0,0
"Këlcyrë","Beehives",2200,2200,2100,3000,1937
"Klos","Cattle",9100,6000,6500,6300,5300
"Klos","Cows",7100,4700,6000,6000,4800
"Klos","Sheep/Goats",28900,25000,19500,17600,14900
"Klos","Sheep",14900,13000,10000,9100,7500
"Klos","Milked sheep",12100,11000,8500,8600,6900
"Klos","Goats",14000,12000,9500,8500,7400
"Klos","Milked goats",11500,10000,8000,8000,7000
"Klos","Pigs",..,0,0,0,0
"Klos","Sows",..,0,0,0,0
"Klos","Equidae",600,600,1300,1300,1000
"Klos","Poultry ",57400,58000,78000,68000,50000
"Klos","Laying hens",50200,55000,70000,66000,44000
"Klos","Turkeys",100,1000,0,600,600
"Klos","Beehives",2020,2000,3100,4150,2700
"Kolonjë","Cattle",8317,6911,6950,6850,6850
"Kolonjë","Cows",7493,6174,6200,6000,6000
"Kolonjë","Sheep/Goats",61861,45859,45960,45960,45960
"Kolonjë","Sheep",32791,23896,24000,24000,24000
"Kolonjë","Milked sheep",28899,21229,21300,21300,21300
"Kolonjë","Goats",29070,21963,21960,21960,21960
"Kolonjë","Milked goats",25043,19686,19700,19700,19700
"Kolonjë","Pigs",..,41,0,0,0
"Kolonjë","Sows",..,0,0,0,0
"Kolonjë","Equidae",1650,1546,1540,1250,1250
"Kolonjë","Poultry ",23955,24259,24000,24000,24000
"Kolonjë","Laying hens",20577,21792,21500,21500,22000
"Kolonjë","Turkeys",..,0,0,0,0
"Kolonjë","Beehives",10595,9772,9770,9770,10500
"Konispol","Cattle",4136,4136,3639,3639,3639
"Konispol","Cows",3111,3111,2737,2611,2611
"Konispol","Sheep/Goats",62105,62105,70698,69246,69246
"Konispol","Sheep",48203,48203,55047,51900,51900
"Konispol","Milked sheep",39602,39602,39602,39650,39650
"Konispol","Goats",13902,13902,15651,17346,17346
"Konispol","Milked goats",11260,11260,11260,11300,11300
"Konispol","Pigs",5313,5313,5313,5271,5271
"Konispol","Sows",263,263,263,257,257
"Konispol","Equidae",1986,1986,1917,1970,1970
"Konispol","Poultry ",79575,79575,79575,81595,81595
"Konispol","Laying hens",15630,15630,42000,49304,49304
"Konispol","Turkeys",..,0,0,0,0
"Konispol","Beehives",3837,3737,3837,3837,11704
"Korçë","Cattle",8791,8791,8800,8000,8000
"Korçë","Cows",6872,6872,6870,6500,6500
"Korçë","Sheep/Goats",83111,83111,83100,81500,81500
"Korçë","Sheep",68981,68981,69000,67500,67500
"Korçë","Milked sheep",56323,56323,56400,55000,55000
"Korçë","Goats",14130,14130,14100,14000,14000
"Korçë","Milked goats",9730,9730,9700,9700,9700
"Korçë","Pigs",5238,5238,5250,5250,4310
"Korçë","Sows",508,508,510,510,510
"Korçë","Equidae",2916,2916,2900,2345,2345
"Korçë","Poultry ",249166,249166,249200,249000,249000
"Korçë","Laying hens",97842,97842,97850,220000,220000
"Korçë","Turkeys",..,0,0,0,0
"Korçë","Beehives",11528,11528,11530,14000,16000
"Krujë","Cattle",10060,8770,9428,8044,7293
"Krujë","Cows",7443,6760,7833,7676,6630
"Krujë","Sheep/Goats",24120,21970,24010,22224,20350
"Krujë","Sheep",10280,8640,9950,8440,8050
"Krujë","Milked sheep",8480,6910,8031,7673,7250
"Krujë","Goats",13840,13330,14060,13784,12300
"Krujë","Milked goats",12100,11120,11720,11720,10260
"Krujë","Pigs",2233,1730,3310,3310,3310
"Krujë","Sows",360,360,345,345,345
"Krujë","Equidae",542,538,640,640,640
"Krujë","Poultry ",824010,853100,714597,508274,144594
"Krujë","Laying hens",86300,85500,95700,95724,95724
"Krujë","Turkeys",6680,7370,7370,7370,7370
"Krujë","Beehives",4648,5370,5267,3872,4800
"Kuçovë","Cattle",4730,4502,4051,2325,2362
"Kuçovë","Cows",3350,3263,2936,1758,1900
"Kuçovë","Sheep/Goats",35000,32925,30516,27157,26575
"Kuçovë","Sheep",22150,21662,19929,16940,16260
"Kuçovë","Milked sheep",17010,16924,15570,11349,10890
"Kuçovë","Goats",12850,11263,10587,10217,10315
"Kuçovë","Milked goats",9840,9627,9049,6845,6900
"Kuçovë","Pigs",2650,2650,2491,2231,1407
"Kuçovë","Sows",185,188,176,170,112
"Kuçovë","Equidae",1590,1587,1491,1227,900
"Kuçovë","Poultry ",139340,132230,125618,126405,117760
"Kuçovë","Laying hens",84350,84780,80541,110050,102900
"Kuçovë","Turkeys",26490,26300,24985,11100,11000
"Kuçovë","Beehives",2680,2668,2708,2572,2610
"Kukës","Cattle",16994,11182,11557,11777,9273
"Kukës","Cows",13213,10100,10100,9500,7880
"Kukës","Sheep/Goats",58745,32174,35480,36998,27273
"Kukës","Sheep",41668,23025,24026,24359,19484
"Kukës","Milked sheep",35575,21000,21500,21500,17550
"Kukës","Goats",17077,9149,11454,12639,7789
"Kukës","Milked goats",14412,8200,9500,9800,7000
"Kukës","Pigs",..,0,0,0,0
"Kukës","Sows",..,0,0,0,0
"Kukës","Equidae",2708,2800,2196,2225,1700
"Kukës","Poultry ",41100,40500,23477,24071,22013
"Kukës","Laying hens",37510,37000,18753,19800,18500
"Kukës","Turkeys",..,0,0,0,0
"Kukës","Beehives",7463,7500,10940,12049,9511
"Kurbin","Cattle",11205,11175,8100,6815,6800
"Kurbin","Cows",7788,7760,6200,6220,6200
"Kurbin","Sheep/Goats",20200,19550,17300,17500,17550
"Kurbin","Sheep",6100,5760,5200,5300,5300
"Kurbin","Milked sheep",4300,4210,4000,4200,4200
"Kurbin","Goats",14100,13790,12100,12200,12250
"Kurbin","Milked goats",10400,10350,7000,7400,7420
"Kurbin","Pigs",12250,12270,10200,10400,10400
"Kurbin","Sows",1390,1390,1200,1250,1250
"Kurbin","Equidae",375,365,264,260,250
"Kurbin","Poultry ",90050,90050,110722,110900,110900
"Kurbin","Laying hens",70500,70620,87200,87300,87350
"Kurbin","Turkeys",1200,1460,1650,1650,1650
"Kurbin","Beehives",1810,1816,3371,3395,3405
"Lezhë","Cattle",17660,17635,12900,10486,10450
"Lezhë","Cows",12030,12010,10200,9830,9800
"Lezhë","Sheep/Goats",37510,36760,31500,31700,31700
"Lezhë","Sheep",17800,17250,14500,14700,14500
"Lezhë","Milked sheep",12700,12440,10600,10800,10600
"Lezhë","Goats",19710,19510,17000,17000,17200
"Lezhë","Milked goats",13450,13210,13000,14300,14400
"Lezhë","Pigs",42900,42650,40000,40200,40200
"Lezhë","Sows",1700,1640,1500,1520,1520
"Lezhë","Equidae",390,377,500,500,500
"Lezhë","Poultry ",117200,117310,130000,131000,131200
"Lezhë","Laying hens",82200,82220,90000,90500,90600
"Lezhë","Turkeys",17300,17330,17330,17930,17930
"Lezhë","Beehives",8220,8225,12000,12300,12500
"Libohovë","Cattle",1907,1850,1800,1600,795
"Libohovë","Cows",1196,1150,1000,1400,495
"Libohovë","Sheep/Goats",28041,28100,19000,17000,18318
"Libohovë","Sheep",22010,22000,15000,13000,14208
"Libohovë","Milked sheep",16810,17000,12000,11000,11540
"Libohovë","Goats",6031,6100,4000,4000,4110
"Libohovë","Milked goats",4540,5000,3200,3000,3305
"Libohovë","Pigs",310,350,400,180,1
"Libohovë","Sows",33,40,40,18,1
"Libohovë","Equidae",257,250,200,200,114
"Libohovë","Poultry ",8580,8500,10000,10000,9650
"Libohovë","Laying hens",8580,8500,8000,8000,8000
"Libohovë","Turkeys",..,0,0,0,0
