1955;PT: Portugal;3642;x x;x x;x x;x x;738;x x;x x;x x;x x;438;74;364;
1940;PT: Portugal;3948;x x;x x;x x;x x;1244;x x;x x;x x;x x;453;85;368;
1934;PT: Portugal;3274;x x;x x;x x;x x;1296;x x;x x;x x;x x;487;90;397;
1925;PT: Portugal;3684;x x;x x;x x;x x;1558;x x;x x;x x;x x;404;80;324;
1920;PT: Portugal;3851;x x;x x;x x;x x;1493;x x;x x;x x;x x;x;x;x;
1906;PT: Portugal;3073;x x;x x;x x;x x;1034;x x;x x;x x;x x;290;88;202;
1870;PT: Portugal;2707;x x;x x;x x;x x;937;x x;x x;x x;x x;269;80;189;
1852;PT: Portugal;2576;x x;x x;x x;x x;1148;x x;x x;x x;x x;245;72;173;

Sheep livestock (No.) by Geographic localization (Agrarian area) and Category (sheep livestock) -  Annual
Goat livestock (No.) by Geographic localization (Agrarian area) and Category (goat livestock) -  Annual
Equidae livestock (No.) by Geographic localization (Agrarian area) and Category (equidae livestock) -  Annual

Note(s):
(1) Livestock present on 01 December.

(2) As numbers are rounded up or down totals may not always correspond to the sum of the parts.



This data last updated:may 17, 2023


Table Metadata

Sheep livestock (No.)
Name;Sheep livestock (No.) by Geographic localization (Agrarian area) and Category (sheep livestock) -  Annual
Regularity;Annual
Source;Statistics Portugal, Animal livestock survey
First available period;1852
Last available period;2022
Dimensions
     Dimension 1;Data reference period
     Dimension 2;Geographic localization (Agrarian area)
     Dimension 3;Category (sheep livestock)
Concepts
     SHEEP;Domestic animals of the genus Ovis.
     REFERENCE PERIOD;The length of time for which data are collected, e.g. a specific day, month or year.
     ANIMAL LIVESTOCK;Animals owned by an agricultural holding and those bred under contract by the holding.
     AGRICULTURAL HOLDING;Technical-economic unit that uses common production factors such as labour, machinery, facilities, land, among others, fulfilling the following four conditions: 1) yield agricultural products or maintain, in good agricultural and environmental conditions, the lands that are no longer used for productive purposes; 2) reach or exceed a certain size (in area or number of animals); 3) be subject to a single management; 4) be located in a well-defined and identifiable area.
Definition;
Formule;
Measure unit (symbol);Number (No.)
Power of 10;3
Last update date;17-May-2023
Goat livestock (No.)
Name;Goat livestock (No.) by Geographic localization (Agrarian area) and Category (goat livestock) -  Annual
Regularity;Annual
Source;Statistics Portugal, Animal livestock survey
First available period;1852
Last available period;2022
Dimensions
     Dimension 1;Data reference period
     Dimension 2;Geographic localization (Agrarian area)
     Dimension 3;Category (goat livestock)
Concepts
     AGRICULTURAL HOLDING;Technical-economic unit that uses common production factors such as labour, machinery, facilities, land, among others, fulfilling the following four conditions: 1) yield agricultural products or maintain, in good agricultural and environmental conditions, the lands that are no longer used for productive purposes; 2) reach or exceed a certain size (in area or number of animals); 3) be subject to a single management; 4) be located in a well-defined and identifiable area.
     REFERENCE PERIOD;The length of time for which data are collected, e.g. a specific day, month or year.
     ANIMAL LIVESTOCK;Animals owned by an agricultural holding and those bred under contract by the holding.
     GOATS;Domestic animals of the genus Capra.
Definition;
Formule;
Measure unit (symbol);Number (No.)
Power of 10;3
Last update date;17-May-2023
Equidae livestock (No.)
Name;Equidae livestock (No.) by Geographic localization (Agrarian area) and Category (equidae livestock) -  Annual
Regularity;Annual
Source;Statistics Portugal, Animal livestock survey
First available period;1852
Last available period;2022
Dimensions
     Dimension 1;Data reference period
     Dimension 2;Geographic localization (Agrarian area)
     Dimension 3;Category (equidae livestock)
Concepts
     REFERENCE PERIOD;The length of time for which data are collected, e.g. a specific day, month or year.
     ANIMAL LIVESTOCK;Animals owned by an agricultural holding and those bred under contract by the holding.
     AGRICULTURAL HOLDING;Technical-economic unit that uses common production factors such as labour, machinery, facilities, land, among others, fulfilling the following four conditions: 1) yield agricultural products or maintain, in good agricultural and environmental conditions, the lands that are no longer used for productive purposes; 2) reach or exceed a certain size (in area or number of animals); 3) be subject to a single management; 4) be located in a well-defined and identifiable area.
     EQUIDAE;Domestic animals of the genus Equus, commonly known as horses. This designation also includes other species, such as the donkey and the zebra and hybrids such as the mule or the hinny.
Definition;
Formule;
Measure unit (symbol);Number (No.)
Power of 10;3
Last update date;17-May-2023
