UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source,INDICATOR: Indicator,REF_AREA: Reference area,SEX: Sex,LAND_USE: Land Use,LIVESTOCK: Livestock,CROP: Crop,NATURAL_CALAMITY: Natural Calamity,SEASON: Season,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE: Observation value
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM020: Svay Rieng,_T: Total,_Z: NA,0866F: Cattle (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,64506,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,47794,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,51938,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,64212,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,14375,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,14856,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2010,13804,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,27611,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,17553,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,19065,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,16386,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,16719,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM011: Mondul Kiri,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,20425,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM010: Kratie,_T: Total,_Z: NA,1034M: Pigs (Male),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,34999,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM010: Kratie,_T: Total,_Z: NA,1034M: Pigs (Male),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,36991,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,27181,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,30029,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,34503,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,34715,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,34750,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM019: Stung Treng,_T: Total,_Z: NA,1034: Pigs,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,33545,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,7904,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,8804,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,9390,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,8121,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,9044,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,8438,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM016: Ratanak Kiri,_T: Total,_Z: NA,1034F: Pigs (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,8519,
6: Millions,"MAFF: Ministry of Agriculture, Forestry and Fisheries",PRODUCTION_OF_CATTLES_AND_BUFFALOES: Production of Cattles and Buffaloes,ASIKHM015: Pursat,_T: Total,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,HEADS: Heads,A: Annual,2013,0.17,
6: Millions,"MAFF: Ministry of Agriculture, Forestry and Fisheries",PRODUCTION_OF_CATTLES_AND_BUFFALOES: Production of Cattles and Buffaloes,ASIKHM015: Pursat,_T: Total,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,HEADS: Heads,A: Annual,2014,0.15,
6: Millions,"MAFF: Ministry of Agriculture, Forestry and Fisheries",PRODUCTION_OF_CATTLES_AND_BUFFALOES: Production of Cattles and Buffaloes,ASIKHM015: Pursat,_T: Total,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,HEADS: Heads,A: Annual,2015,0.14,
6: Millions,"MAFF: Ministry of Agriculture, Forestry and Fisheries",PRODUCTION_OF_CATTLES_AND_BUFFALOES: Production of Cattles and Buffaloes,ASIKHM015: Pursat,_T: Total,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,HEADS: Heads,A: Annual,2016,0.14,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,797335,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,925006,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,1905803,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,1612396,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,2348843,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,2020459,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,1611242,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM005: Kampong Speu,_T: Total,_Z: NA,1057: Poultry,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,1984494,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,0866F: Cattle (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,44686,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,0866F: Cattle (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,44659,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM025: Tboung Khmum,_T: Total,_Z: NA,0866F: Cattle (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,44995,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM012: Phnom Penh,_T: Total,_Z: NA,1034M: Pigs (Male),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,18732,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM012: Phnom Penh,_T: Total,_Z: NA,1034M: Pigs (Male),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,12305,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,1640,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,1824,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,1732,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,1851,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,2608,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,2491,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,2515,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,2240,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,343165,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,351595,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2010,370131,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,367482,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,369247,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,374834,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,357499,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,358129,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM021: Takeo,_T: Total,_Z: NA,0866: Cattle,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,359189,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,18379,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2009,33792,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2010,23373,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2011,24127,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2012,18442,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2013,14775,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2014,7534,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2015,7059,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM013: Preah Vihear,_T: Total,_Z: NA,0946: Buffalo,_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2016,8603,
0: Units,"MAFF: Ministry of Agriculture, Forestry and Fisheries",LIVESTOCK_BY_TYPE: Livestock by Type,ASIKHM009: Koh Kong,_T: Total,_Z: NA,0946F: Buffalo (Female),_Z: NA,_Z: NA,_Z: NA,NUMBER: Number,A: Annual,2008,2615,
