           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;415454;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;204433;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;158824;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;301436;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;154405;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;808424;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;15761;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;27858;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;1721;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;392590;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;1835717;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;309259;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;4823970;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;41899;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;550350;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;1285746;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;1176317;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;158190;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;87135;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;148026;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;119974;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;22375;"KALIMANTAN UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;128115;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;402191;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;1405246;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;361568;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;254983;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;113380;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;110781;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;110805;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;61415;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;117098;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;17440393;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;403031;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;872411;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;408851;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;198296;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;159470;JAMBI
